"Add Your Review", "Write a review"
"Regular Price", "Was"
"Special Price", "Now"
"Starting at", "From"
"As low as", "From"
"Shopping Cart", "My Bag"
"Qty", "Quantity"
"Summary", "Order Summary"
"Proceed to Checkout", "Checkout Now"
"More Choices:", "You may also like"
"Add to Cart", "Add to Bag"
"My Cart","My Bag"
"Basket", "Bag"
"Cart Subtotal","Total"
"Proceed to Checkout","Pay Securely"
"See Details", "Info"
"Customer Login", "Log in or sign up"
"Email", "Email Address"
"Forgot Your Password?", "Forgotten Your Password?"
"Details", "Description"
"Reviews %1", "Reviews"
"Details", "Description"
"Reviews %1", "Reviews"
"Items in Cart", "Items in Bag"
"Apply Discount Code", "Enter Your Discount Code"
"Enter discount code", "Enter Discount Code"
"Apply Gift Card", "Enter Your Gift Voucher Code"
"Apply Discount", "Apply"
"Add Gift Card", "Apply"
"See Balance", "Check Gift Card status and balance"
"edit", "Edit"
"Shop By", "Filter By"
"Shopping Options", "Filters"
"You have no items in your shopping cart", "Your shopping bag is empty"
"Your shopping basket is empty", "Your shopping bag is empty"
"You are subscribed to ""General Subscription"".", "You are subscribed, we'll send you offers, news and new product information"
"Review & Payments", "Payment"
"Shipping Methods", "How should we deliver it?"
"Move to Wishlist", "Save for later"
